age,age_group,personal_status,employment,savings,duration,amount,predicted_label,true_label
55,50+,male mar/wid,4<=X<7,100<=X<500,14,1472,1,1
30,30-39,male single,<1,no known savings,14,8480,0,0
19,Under 30,male single,>=7,no known savings,57,11164,0,0
74,50+,male single,<1,500<=X<1000,34,12432,0,0
71,50+,male single,<1,<100,42,2004,0,0
61,50+,male single,>=7,500<=X<1000,35,10140,1,1
57,50+,male mar/wid,>=7,500<=X<1000,22,1321,1,1
26,Under 30,female single,>=7,500<=X<1000,55,7019,1,1
59,50+,male div/sep,4<=X<7,100<=X<500,9,1826,1,1
52,50+,female div/dep/mar,unemployed,>=1000,51,9606,0,0
66,50+,female single,>=7,no known savings,24,3420,1,1
59,50+,male div/sep,4<=X<7,500<=X<1000,6,7100,1,1
44,40-49,male single,4<=X<7,<100,71,14771,0,0
37,30-39,male single,>=7,>=1000,57,2851,1,0
38,30-39,male mar/wid,1<=X<4,<100,8,9010,1,1
23,Under 30,male mar/wid,4<=X<7,>=1000,49,5507,1,1
46,40-49,male single,1<=X<4,500<=X<1000,36,8223,0,0
39,30-39,male single,>=7,100<=X<500,15,2510,1,1
52,50+,male mar/wid,1<=X<4,500<=X<1000,59,9178,0,0
54,50+,male single,>=7,no known savings,57,9061,1,1
40,40-49,male mar/wid,4<=X<7,100<=X<500,63,12195,0,0
46,40-49,female single,>=7,100<=X<500,63,12322,0,1
57,50+,male div/sep,<1,<100,36,14746,0,0
73,50+,male mar/wid,4<=X<7,100<=X<500,41,1000,1,1
44,40-49,male mar/wid,>=7,100<=X<500,19,4153,1,1
32,30-39,female div/dep/mar,>=7,<100,46,13804,0,0
52,50+,male mar/wid,1<=X<4,>=1000,13,13894,1,1
67,50+,female div/dep/mar,1<=X<4,no known savings,37,12946,0,0
44,40-49,female single,<1,>=1000,48,14406,0,0
29,Under 30,male mar/wid,4<=X<7,100<=X<500,35,13715,1,1
63,50+,male single,<1,<100,52,6822,0,0
71,50+,male single,4<=X<7,100<=X<500,8,2524,1,1
58,50+,male single,1<=X<4,<100,15,13344,0,0
25,Under 30,male single,>=7,>=1000,22,3273,1,0
68,50+,female div/dep/mar,>=7,<100,65,4094,0,0
51,50+,female div/dep/mar,1<=X<4,<100,19,4963,0,0
33,30-39,male mar/wid,>=7,100<=X<500,15,12243,1,0
53,50+,male single,4<=X<7,<100,22,8311,0,0
66,50+,female single,4<=X<7,<100,24,1501,1,1
68,50+,male single,>=7,no known savings,14,1704,1,1
67,50+,male single,1<=X<4,<100,69,575,0,0
34,30-39,male single,>=7,no known savings,51,8818,0,0
42,40-49,male single,<1,<100,64,3792,0,0
63,50+,male mar/wid,1<=X<4,no known savings,53,13815,0,0
43,40-49,male mar/wid,4<=X<7,<100,10,12771,0,0
64,50+,male single,4<=X<7,<100,68,7862,0,0
34,30-39,male mar/wid,<1,<100,33,1418,0,0
55,50+,female div/dep/mar,<1,100<=X<500,48,12733,0,1
55,50+,male div/sep,4<=X<7,<100,13,14724,1,1
62,50+,male single,1<=X<4,500<=X<1000,39,9680,0,0
29,Under 30,female single,unemployed,100<=X<500,46,14040,0,1
30,30-39,male single,>=7,100<=X<500,57,12253,1,1
23,Under 30,male div/sep,4<=X<7,500<=X<1000,22,9184,1,1
26,Under 30,male div/sep,4<=X<7,100<=X<500,10,10650,1,0
63,50+,male div/sep,unemployed,<100,34,4037,0,0
39,30-39,male single,>=7,100<=X<500,24,1225,1,1
72,50+,male mar/wid,unemployed,100<=X<500,31,9542,0,1
20,Under 30,female div/dep/mar,<1,<100,49,11588,0,0
43,40-49,female single,>=7,100<=X<500,30,8093,1,1
51,50+,female div/dep/mar,>=7,<100,23,5028,1,0
73,50+,female single,1<=X<4,100<=X<500,44,861,0,0
21,Under 30,male single,4<=X<7,no known savings,46,13816,0,0
19,Under 30,female single,<1,<100,35,1794,0,0
53,50+,male div/sep,<1,<100,63,5357,0,0
30,30-39,female single,4<=X<7,100<=X<500,40,1458,1,1
54,50+,female single,>=7,no known savings,56,7260,0,0
26,Under 30,male single,>=7,500<=X<1000,59,14477,1,1
25,Under 30,male div/sep,1<=X<4,500<=X<1000,52,1115,1,1
67,50+,male mar/wid,4<=X<7,500<=X<1000,50,1054,1,1
50,50+,male div/sep,1<=X<4,>=1000,58,967,1,1
47,40-49,male mar/wid,<1,100<=X<500,71,3175,0,0
50,50+,male single,<1,>=1000,69,12744,0,0
34,30-39,female div/dep/mar,>=7,no known savings,49,12630,0,0
52,50+,male single,4<=X<7,100<=X<500,53,11159,0,0
71,50+,male single,<1,100<=X<500,44,14269,0,0
41,40-49,male single,unemployed,<100,70,8674,0,0
62,50+,male single,1<=X<4,<100,42,7253,0,0
65,50+,male single,unemployed,>=1000,22,5855,0,0
39,30-39,female single,<1,500<=X<1000,16,13197,0,0
21,Under 30,male single,1<=X<4,>=1000,16,2227,1,1
68,50+,male mar/wid,1<=X<4,<100,59,8958,0,0
71,50+,female single,>=7,>=1000,71,7047,1,1
26,Under 30,male div/sep,1<=X<4,100<=X<500,13,12780,0,0
69,50+,male div/sep,1<=X<4,500<=X<1000,19,6676,1,1
20,Under 30,male mar/wid,4<=X<7,no known savings,51,10599,0,0
33,30-39,female div/dep/mar,1<=X<4,500<=X<1000,21,4089,1,1
70,50+,male single,1<=X<4,<100,38,11765,0,0
55,50+,female single,>=7,100<=X<500,11,7266,1,1
65,50+,female div/dep/mar,<1,<100,57,5219,0,0
